# gate_id	state	evidence	basis
A-01	PASS	qualification/program-c/gate-i-receipts.tsv	Exact I-01 through I-08 index, including additive pinned-commit I-03 and I-04 successors, is current and passing.
A-02	PASS	qualification/program-c/candidate-comparison.v1.json	Gonum Louvain v0.17.0 and Gonum Leiden commit 69ca49f were both evaluated; Leiden is selected with bounded rationale and no superiority claim.
A-03	BLOCKED	qualification/program-c/i-04-license-inputs.v2.json	Exact BSD-3-Clause bytes are retained, but no authorized production distribution and linkage approval is recorded.
A-04	PASS	qualification/program-c/a-04-current-platform-scope.v1.json;qualification/program-c/a-04-darwin-arm64-build-reproducibility.v1.json	The current intended initial scope is exactly Darwin arm64 with CGO disabled, and two identical-command builds at the exact committed qualifier revision produced identical executable bytes.
A-05	PASS	qualification/program-c/candidates/gonum-leiden/candidate-execution.af7f038.receipt.json	Exact admitted bytes, calls-v1 projection identity, parameters, ceilings, seed, implementation, Darwin arm64 runtime, repeats, and input permutation reproduced canonical labels and digest.
A-06	FAIL	qualification/program-c/candidates/gonum-leiden/candidate-execution.af7f038.receipt.json	Only one retained fixture was tried; the complete directed, weighted, disconnected, singleton, high-degree-hub, and adversarial-order fixture inventory is incomplete.
A-07	PASS	qualification/program-c/a-07-boundary-accounting-contract.v1.json	The complete proposed accounting contract defines occurrences, measures, witnesses, identity bindings, denominators, typed outcomes, and a structural-only claim ceiling; implementation remains absent.
A-08	PASS	qualification/program-c/a-08-instability-contract.v1.json	The complete proposed instability contract defines label-independent matching, unmatched accounting, metrics, thresholds, exact run inventory, fail-closed outcomes, and publication blocking; implementation remains absent.
A-09	PASS	qualification/program-c/i-08-neutrality-examples.v1.json;qualification/program-c/gate-i-i-08-neutrality.receipt.txt	Positive and prohibited examples preserve structural, run-local, non-semantic claims.
A-10	PASS	qualification/program-c/a-10-implementation-test-plan.v1.json;qualification/program-c/a-10-implementation-test-plan.v1.review.json;qualification/program-c/a-10-implementation-test-plan.v1.review.txt	An independent read-only review confirmed all eight required guard classes while preserving NOT_EXECUTED and no-passing-tests claims.
